0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
437.84,449.41,342.11,482.17,407.29,339.87,415.86,465.86,343.22,326.71,357.97,374.25,360,346.52,389.93,477.15,493.5,386.13,354.6,415.39,527.05,498.47,512.89,502.43,465.63,361.84,430.17,391.02,483.07
1890,1936.5,2088.4,1923.1,1957.9,1439.5,2016.8,1585.1,1749.5,1766.5,2240.5,2211.2,1383.2,1278.6,2071.7,1057.4,1846.6,1505.7,1563.9,869.65,1462.5,1581.3,2269.6,1743.2,1477.4,2127.1,1765.3,2001.2,1583.5
3612,5029.2,3521.4,5383.4,3713.2,3025.6,6816.6,2183.5,3854.2,4032.8,2801.4,2592.2,4460.7,1668.2,5239.1,2200.9,3854.2,5200.4,6097.2,3707.9,6803.1,4838.3,5845.9,2985.9,5220.9,6236.9,4178.1,4061.5,3632.9
279.31,120,193.42,197.14,34.13,113.6,108.58,129.04,77.13,77.36,95.21,33.52,83.11,137.13,175.23,149.21,25.39,138,200.27,218.93,34.28,243.11,141.89,148.24,90.73,203.25,68.38,79.13,139.52
284.76,387.59,315.65,113.76,310.75,327.85,237.49,205.8,241.44,131.74,444.98,350.13,171.74,222.26,229.4,440.33,562.24,222.4,220.57,185.28,670.04,578.68,698.35,169.19,247.16,298.88,207.39,397.69,447.01
54.95,88.48,180.22,42.51,47.58,187.86,89.45,260.06,191.83,70.89,78.26,92.69,102.06,46.6,130.29,192.23,101.62,96.14,58.96,60.33,131.07,86.91,165.59,72.2,398.91,67.28,86.96,46.64,65.61
679.48,761.51,658.99,685.74,652.17,727.26,793.21,1208.3,875.22,803.73,883.72,605.24,530.55,547.5,919.38,496.29,511.1,1025.9,768.8,1095.6,107.24,730.9,495.8,353.35,754.64,580.96,809.86,579.25,687.25
39.35,60.43,198.92,217.78,98.09,42.56,74.54,30.45,91.85,106.29,57.49,75.63,36.39,33.93,57.27,40.66,49.93,44.29,93.53,159.09,168.76,28.95,64.69,84.48,135.81,122.21,63.18,61.26,35.29
301.5,222.84,203.62,333.94,404.19,269.8,245.12,640.79,374.17,264.57,231.51,278.37,254.12,254.06,234.26,329.11,158.15,335.03,261.53,146.34,91.785,183.84,255.47,318.15,292.96,348.91,302.79,399.28,269
215.23,349.78,251.48,179.3,328.22,183.28,196.55,125.05,183.58,117.96,223.21,176.89,253.88,214.05,139.49,136.38,177.69,212.07,106,227.6,284.58,170.89,261.35,163.68,374.81,151.62,223.64,202.75,207.33
878.64,715.84,574.23,733.71,861.02,875.22,829.88,871.47,752.59,661.09,931.81,906.28,1079.1,718.45,918.11,896.99,810.28,713.59,684.15,542.71,777.68,613.74,538.98,876.88,662.05,746.57,735.81,779.17,883.61
