0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
411.98,427.55,351,321.56,681.92,657.65,715.87,593.21,399.42,402.6,577.25,331.4,460.35,487.17,604.89,376.17,561.58,86.714,448.27,494.33
1121.6,1410.9,1074.7,629.91,982.81,2619.6,1444.8,2913.7,1124.6,1032.8,1328.9,1647.8,1465.3,1901.3,1421.1,1642.1,1631,170.92,774.59,1321.6
384.97,335.9,961.48,416.59,1249.3,992.84,819.51,800.27,1119.5,695.14,1257.6,535.52,931.06,1112.7,1313.9,1040.9,965.45,117.05,981.31,930.22
473.9,658.82,469.44,273.92,622.39,401.9,660.4,382.64,532,387.77,594.18,509.96,671.61,508.92,639.85,814.88,662.92,240.32,615.27,593.4
332.99,422.18,444.11,275.47,564.78,710.02,534.46,802.36,444.28,441.15,837.79,449.55,487.1,730.11,674.91,811.51,757.97,79.959,475.08,857.16
247.15,372.4,300.99,276.7,150.65,312.25,132.3,304.44,235.26,101.94,236.91,49.13,227.62,386,143.21,128.43,116.46,63.916,86.649,160.28
927.33,977.78,1090.5,669.69,733.02,1220.1,914.24,1184.4,1328.5,850.53,978.15,967.22,1523.1,810.09,1181.5,824.01,888.1,224.04,771.5,1258
557.36,525.11,80.52,452.74,127.1,690.85,90.409,441.68,523.53,252.77,137.65,451.35,751.27,318.12,98.266,386.02,313.76,76.507,175.27,417.29
757.35,466.74,594.06,461.01,553.68,506.26,469.06,278.92,459.66,492.93,578.62,334.89,260.97,505.67,471.31,491.41,487.05,158.33,425.82,433.42
310.88,746.07,558.86,296.54,333.43,1157.8,434.71,727.43,701.2,442.56,523.84,318.73,692.62,527.27,542.32,399.18,549.09,82.101,391.26,450
860.99,818.25,1419.6,990.19,1048.1,848.99,631.31,752.14,1606.9,1368.7,814.6,1264.8,983.98,1351.1,819.29,1210,1087.4,248,1351.7,1075.5
23.144,10.012,31.408,22.78,11.02,15.794,24.194,69.045,9.9896,21.121,25.084,40.271,18.026,16.166,47.051,64.35,32.698,2.2412,19.028,30.6
1911.7,2182.1,2652.4,2860,2520.7,1736.2,2036.7,2690,2734,1975.2,2524.5,3365.4,2124.7,3222.7,2722.5,3841.3,2193.6,398.86,2949,3172.6
577.87,584.23,501.9,453.1,602.24,462.6,1021.9,706.61,525.65,640.92,823.78,621.7,628.22,621.56,647.38,503.45,656.27,130.1,694.6,739.23
1763.4,814,1327.8,1520.7,957.03,603.83,1181.3,627.99,695.33,1305.4,790.54,1577,732.83,1146.8,645.69,1154.8,862.92,208.12,932.46,882.74
202.8,113.2,244.58,320.74,20.513,151.45,46.536,222.58,131.54,301.63,159.53,71.915,230,55.223,89.328,67.044,297.66,16.607,233.13,297.08
748.87,1534.8,999.5,1256.9,1297.2,327.65,1037.9,820.94,1043,775.9,1146.9,949.68,731.46,1055.2,1041.3,925.22,884.26,199.25,903.94,690.82
122.57,284.37,460.97,240.01,133.92,1777.4,756.29,219.5,212.07,469.89,728.26,366.89,582.97,157.16,641.16,987.15,188.75,24.8,370.68,173.08
457.11,289.58,587.98,517.76,339.9,333.35,464.27,471.75,455.92,398.47,497.52,454.77,430.37,621.42,480.46,436.45,441.71,57.255,420.22,518.11
296.79,677.77,501.32,341.28,334.43,622.87,539.4,669,564.82,805.85,588.23,615.05,429.52,248.55,794.3,713.92,657.31,130.89,574.15,502.46
430.87,387.78,394.37,341.01,228.44,317.21,505.79,347.39,444.47,416.34,355.72,265,303.28,373.36,266.34,665.12,465.87,58.46,537.65,206.63
250.25,361.89,169.15,85.575,322,606.37,120.3,487.2,26.466,203.93,139.61,209.56,254.97,172.61,43.818,196.07,153.97,22.25,138.29,11.134
209.54,279.02,418.78,216.13,307.06,479.96,297.23,243.5,410.01,227.57,370.4,132.31,441.8,244.88,294.48,186.92,418.61,63.011,286.88,319.87
141.09,100.65,192.01,151.75,44.088,73.358,411.24,55.626,221.54,170.08,51.43,47.983,90.761,200.32,92.374,156.32,83.536,42.076,117.71,56.454
94.807,439.81,107.77,69.95,170.23,165.54,287.66,306.32,245.19,104.49,124.87,140.64,177.74,212.36,132.93,315.82,399.83,37.18,271.62,163.43
1392.1,2034,1847.2,1775.6,1023.3,1538.6,1373,1084,1678.8,1613.4,1366.9,819.37,1608,1337.3,1249.9,1090.1,1496.6,273.84,2071.5,1872.5
101.58,185.03,144.97,150.23,79.815,113.27,19.936,371.2,330.14,96.973,50.159,202.75,190.7,104.32,92.607,259.79,48.702,32.62,23.966,162.65
534.44,1409.8,976.45,905.18,1168.6,2055.6,1151.1,956.11,1606.4,661.05,1205.1,530.91,1532,1293.8,1036.4,683.24,537.43,200.05,357.59,838.65
20.191,154.69,83.412,74.271,23.423,367.53,29.281,33.045,146.34,18.967,174.05,114.97,169.66,115.49,140.57,240.72,67.565,2.5596,16.632,19.794
212.21,124.95,245.87,66.361,347.38,442.7,270.2,230.52,200.33,262.28,545.82,313.59,374.07,294.46,277.42,384.57,488.56,21.073,324.45,403.9
591.39,336.64,255.91,284.26,354.34,87.376,158.51,364,179.25,334.23,82.415,251.15,124.05,387.34,316.44,258.75,225.8,32.6,267.34,227.99
20.626,115.98,25.316,31.188,20.562,131.14,25.387,65.965,34.033,28.537,198.73,20.764,63.047,26.18,35.197,37.493,43.684,10.635,29.929,56.729
231.72,543.87,561.01,339.66,419.32,470.91,236.93,514.74,523.92,245.04,347.05,541.1,750.18,548.12,449.23,509.27,106.83,78.899,371.94,520.37
874.3,483.55,164.17,554.06,453.83,591.16,477.27,241.59,368.53,573.11,371.84,434.37,689.29,548.63,468.8,388.78,532.23,83.237,316.72,384.68
19.202,14.583,20.858,27.768,30.828,51.023,24.383,25.169,17.076,38.034,32.395,32.133,20.247,31.985,23.302,27.995,21.695,7.7838,37.992,66.626
89.944,93.216,264.94,70.333,90.157,170.21,71.388,129.63,133.55,103.24,220.61,50.915,171.02,134.08,74.271,53.611,70.415,26.944,88.156,203.73
552.4,1857.2,1708.4,1396,641.81,1117.3,1380.3,653.64,1497,1008.9,1309,910.54,1223.9,942.02,1226.8,738.33,950.16,262.28,1158,1246.5
709.67,1191.2,2116.7,1169.9,1182.4,1720.7,1585.3,1345.2,1924.9,1081.7,1102.4,979.74,2643.4,1917,1373,1323.7,1521.8,246.18,1442.8,1530.8
64.859,244.27,84.587,107.53,183.9,182.73,39.312,339.99,40.006,88.875,58.682,73.782,67.22,120.09,63.566,88.615,45.075,11.787,45.574,212.18
83.3,471.63,382.42,212.15,128.43,92.433,420.57,622.21,503.46,235.83,358,332.8,257.33,118.71,140.76,193.13,121.55,71.276,92.338,411.82
632.98,563.59,1200,544.17,489.26,466.01,642.5,674.35,940.31,1099.8,604.13,936.13,1014.3,812.32,640.68,765.03,589.95,124.7,726.44,899.78
1860.1,3581.4,3099.7,2379.1,2120.6,3773.5,2614.2,3206.3,2943.1,1762.8,2662.4,3108.6,4576.2,2837,2035.4,3743,2267.3,523.21,1850.6,2869.1
704.52,306.47,1014.3,986.91,474.18,406.6,460.94,395.89,600.72,411.42,497.14,297.05,608.6,525.91,420.15,450.57,741.27,71.985,499.38,704.75
77.152,33.663,47.048,54.232,58.023,119.01,51.353,326.47,44.696,36.502,57.582,32.151,71.653,136.82,75.633,100.41,64.326,9.6309,39.791,39.236
248.1,118.8,215.21,132.03,237.65,469.52,189.75,113.6,212.14,137.97,236.15,362.64,104.62,292.34,288.26,311.04,249.08,39.094,276.31,251.13
317.64,414.05,363.37,335.14,499.29,456.63,137.53,951.49,201.67,380.11,431.82,487.93,544.42,864.01,439.58,480.98,397.07,57.279,291.25,551.61
340.72,133.33,304.99,83.263,314.81,501.74,225.42,427.62,178.56,178.19,443.88,213.82,263.06,509.41,235.07,241.42,317.53,17.233,115.86,201.77
4929.9,5264,6675.6,4275.6,5954.2,1604.9,5858.1,3309.5,5476.3,6084.6,2454.2,3948.3,2930.4,5265.9,6592,3227.4,4692.8,1059.4,5071.7,4692
253.26,341.67,506.55,310.6,339.47,470.12,574.86,375.48,436.25,332.5,394.62,276.96,721,671.17,433.79,469.61,380.33,90.402,305.46,403.77
1084,865.73,1052,876.22,825.51,929.87,762.42,947.16,952.72,974.96,1067.9,956.87,703.21,896.61,763.63,906.49,940.51,117.85,673.14,665.43
1153.5,2211.4,1987.1,1808.3,1164.5,1444.3,1704.8,2113.6,2018.8,1397.7,2051.1,2410.9,2152.2,2016.9,1411.8,2025.7,1868.6,422.02,1676.8,1774.4
299.95,281.09,429.37,389.82,229.38,373.15,352.65,376.76,467.25,332.28,403.44,459.96,310.03,327.51,358.25,441.19,322.47,78.992,295.49,359.04
706.9,1005.4,759.03,855.66,883.87,1521,1297.3,1361.3,1349.5,1195.4,1050.4,1140.6,1523.3,1384,1204.1,1147.5,803.35,195.93,1180.1,1204.5
362.79,685.05,538.15,626.85,459.69,726.31,439.17,588.91,809.25,519.75,772.54,1038.2,529.55,458.32,552.84,887.75,665.05,116.2,599.32,585.66
345.84,389.9,179.76,210.99,57.573,836.18,243.24,249.91,355.45,327.86,160.09,404.77,548.81,735.52,288.33,452.93,360.37,34.318,35.153,242.94
304.86,240.29,471.76,364.38,430.43,401.91,438.32,868.25,367.56,414.06,793.86,541.6,512.77,575.89,577.18,583.31,349.3,73.664,345.53,419.32
59.582,65.276,47.321,11.902,14.779,116.24,24.736,105.95,41.068,12.9,47.323,79.551,41.894,50.173,25.028,54.684,219.01,2.1907,51.969,14.037
2647.6,1856.6,2466.4,2620.1,1750.7,2473.1,2023.6,1842.8,3068.3,2347.5,2176.9,3248,4049.5,4764.3,2205.2,2628.2,2366.6,357.88,1815.8,1763
1993.1,2261,2043.7,2927.6,2814.5,2971.6,2871.2,2426.7,3133.3,1722.4,1664.2,1732.3,1923.9,1687.2,2182.4,1776.5,1877.4,276.79,1528.8,2083.7
974.83,899.69,1227.4,878.42,944.25,1202.9,799.19,1324.6,1261.9,687.51,623.93,865.93,1865,1124.2,641.33,923.99,979.55,146.31,703.13,795.98
1001.1,1052.8,834.02,973.42,1008.6,599.88,694.12,718.35,661.2,804.14,804.49,918,861.1,853.07,916.35,1009.9,1013.1,203.86,1140.8,968.29
888.52,304.92,557.93,1891.3,425.02,291.36,237.87,482.33,416.24,344.97,554.95,626.32,588.31,549,779.45,469.96,379.16,100.54,496.23,549.99
1330.5,1565.3,1598.4,1665.4,1625,1542.8,1515.7,2043.9,1811.2,1657.8,1596.6,1577.4,2339.9,1866.4,1705.4,1830.5,1662.3,283.16,1684,1670.4
618.84,575.29,498.4,386.3,682.19,600.58,481.61,700.28,496.27,832.78,560.2,796.54,554.16,767.07,615.33,663.19,637.26,87.163,585.37,519.49
558.99,423.22,534.23,904.72,556.82,501.99,351.27,227.78,389.76,382.94,333.76,381.06,525.65,501.01,328.85,356.99,442.46,75.524,468.13,525.93
19.952,57.36,44.033,39.911,53.027,127.01,85.46,75.32,46.986,42.902,278.31,27.689,174.56,25.569,74.106,253.73,71.991,8.9835,49.709,48.154
2262,1729.7,2364.2,1680.5,1503.5,728.16,1441.8,1805.7,1319.1,2373.2,1423.6,2435.2,1380.7,1451.8,1719.7,2064.6,1557.5,297.83,2009.6,1550.9
503.33,576.91,585.72,604.95,533.9,653.54,450.81,452.74,507.37,568.49,528.71,501.46,726.77,789.96,561.58,260.69,583.37,87.841,666.18,626.73
66.079,155.99,164.82,27.944,56.954,355.4,297.62,379.02,399.81,170.52,223.97,33.167,305.74,295.37,44.794,55.339,41.728,13.372,163.75,109.34
713.28,1128.7,1724,1164.4,1083.6,999.1,1022.2,1579.3,1107.8,1279.7,862.08,1163.4,1785.8,1291.2,1084.8,1192.9,1252.6,227.89,1232.4,979.31
574.66,304.49,520.99,437.65,652.64,941.37,732.36,739.37,424.41,627.2,751.33,588.8,608.43,1041.9,894.59,809.84,822.16,89.899,594.91,686.04
3542.5,3906.7,2479.5,4301.6,2932.5,1802,2971.2,2708.2,3395.5,5381.2,1625.5,4810.1,2409.5,2442.1,2112.7,4192.2,2648.9,664.17,3468.8,2789.4
62.413,214.62,44.904,17.127,38.958,71.995,187.61,42.691,54.751,45.278,75.762,37.889,82.331,159.69,105.07,99.414,48.898,12.382,31.841,64.309
226.86,391.54,249.3,73.086,425.4,726.35,433.5,530.53,218.5,180.16,283.51,187.26,372.85,355.54,333.19,159.45,280.18,23.184,182.02,304.32
287.9,313.73,316.82,153.64,249.39,304.99,55.828,535.65,270.72,290.48,197.61,209.81,265.57,143.21,334.92,337.46,340.51,58.011,224.07,312.28
659.93,944.28,1344.8,1185.2,734.19,1159.8,849.34,1067.9,983.91,787.95,871.44,668.1,988.63,866.76,774.85,957.94,716.33,217.93,982.95,1080.7
367.19,469.6,697.41,587.82,118.87,147.31,779.28,179.08,391.81,292.94,913.24,741.24,150.81,488.83,847.93,532.97,421.4,142.13,634.99,504.96
259.34,675.27,440.03,296.39,565.84,365.51,590.45,94.812,325.38,513.18,294.59,419.1,297.07,638.95,686.51,815.94,538.58,70.149,464.27,394.76
719.72,1117.6,991.62,679.86,1016.4,1005.4,1601.9,1014,1044.7,1379.4,1493,794.29,866.19,1067.5,1302.5,1222.4,1139.9,215.17,1164,1189.4
64.227,228.09,116.4,47.67,246.49,498.67,391.89,286.76,75.229,68.062,453.83,149.87,99.04,246.87,125.87,148.78,237.8,12.233,234.64,122.29
825.21,742.44,845.24,1049.7,1402.3,607.88,534.86,294.27,1068.5,234.22,460.49,811.95,1562.8,1414.2,963.97,1165.4,1134.6,179.24,892.79,1148.2
457.94,850.62,848.87,379.52,725.9,1323.8,701.59,714.61,1064.8,562.73,447.52,403.87,946.66,931.69,986.34,442.54,693.39,128.01,491.55,655.12
425.76,921.81,485.17,407.99,1028.3,1164.1,1032.3,1156.3,320.83,412.94,1213.7,286.62,722.61,754.76,1051.1,332.68,824.41,163.01,711.13,922.96
758.27,1567.8,1130.7,1015.8,862.15,645.37,895.56,1094.4,665.28,1574.6,639.74,1376.2,905.13,899.19,973.7,1106.8,1086.4,151,1254.8,1248.6
315,159.63,149.51,132.06,234.18,522.12,228.19,171.85,61.36,107.64,29.001,91.48,344.26,52.238,142.47,117.95,328.85,20.828,127.32,247.6
2982.2,1215.2,3088,1735.8,1322.8,802.02,775.14,1285.2,1331.7,3116.1,774.52,2072.9,1855.7,857.7,1214.6,826.76,1174.5,181.83,1391.3,670.12
501.41,340.77,481.57,444.32,652.25,670.95,1015.2,509.88,580.22,666.34,680.5,321.2,441.78,693.58,886.57,318.89,506.4,143.14,682.91,502.36
123.5,262.27,111.92,208.08,229.3,363.77,417.71,310.19,156.5,305.04,153.76,235.01,124.72,189.39,171.38,80.123,194.96,5.5332,184.47,241.41
1881.8,2992.7,5212.2,3074.8,2166.4,2329.3,2941.7,2750.1,4007.1,2803.3,2916.2,2186.8,4121.9,2195.3,2696.9,3168.3,2213.3,704,2954.4,3408.5
304.87,572.47,421.76,291.96,751.76,567.84,653.7,722.62,378.49,458.85,956.22,314.6,709.2,502.78,828.23,579.31,651.29,90.556,499.71,489
56.446,55.628,110.98,75.848,279.76,876.33,72.779,395.86,54.074,215.48,652.89,41.528,68.796,139.93,127.5,38.922,505.51,39.146,115.31,257.88
1068.2,865.13,1052.4,600.42,453.35,393.47,945.96,693.3,682.93,1393.7,565.86,761,654.81,853.12,667.12,693.15,773.2,107.73,529.13,518.81
3494.2,1104.4,2312.2,3239.3,2143,1423.6,1549.4,1517.7,1810.8,1509.5,974.65,1733.9,1405.5,1779.1,1642.7,1406.4,1372.9,330.85,1406.1,1484.3
931.16,979.79,676.04,864.66,1113,550.31,558,285.96,900.18,829.84,608.33,1076.8,634.81,772.23,621.33,1162,703.79,92.81,698.62,642.6
1066.8,1276.9,856.48,808.28,875.82,685.45,817.42,956.78,968.81,1302.5,1012.3,1191.6,646.76,762.23,684.31,790.5,1016.6,151.63,695.77,1014.1
417.23,439.06,313.82,489.28,120.63,739.63,177.08,1577.5,454.08,362.43,675.1,369.89,238.57,358.19,613.38,66.041,257.28,89.444,323.78,603.06
76.061,74.679,65.552,40.527,213.67,125.07,61.472,68.891,76.561,60.155,97.68,45.457,172.29,112.73,85.145,244.11,76.78,8.1712,73.313,76.637
508.49,493.5,549.17,653.45,425.24,708.3,346.93,1179.2,931.97,151.41,687.84,748.46,971.46,1122.1,434.72,939.67,676.16,126.93,252.42,778.26
378.01,296.29,444.85,255.89,315.53,482.12,443.67,419.25,459.92,270.47,409.49,375.77,529.13,278.93,384.92,176.25,589.18,46.217,141.86,463.18
40.648,60.129,57.167,84.099,147.53,406.18,205.62,643.13,73.33,61.162,372.25,77.824,139.29,119.05,91.723,149.28,114.45,21.657,112.32,176.63
45.705,114.21,117,499.67,192.97,97.582,694.76,170.8,566.02,57.659,205.88,47.006,137.89,70.564,275.35,48.29,37.983,70.357,214.13,138.64
29.638,381.7,24.572,42.686,146.03,497.77,318.97,676.35,34.783,38.574,115.74,55.462,329.65,61.378,85.252,70.709,47.156,7.7119,98.582,38.799
321.75,451.94,258.6,262.59,349.92,467.37,236.56,489.46,240.58,479.13,166.88,365.31,293.18,389,175.41,383.82,426.63,39.402,286.37,347.34
58.681,64.359,91.828,43.053,193.03,162.45,205.43,152.55,67.345,40.981,313.7,51.385,176.55,60.514,168.03,139.28,65.459,17.635,46.124,170.29
299.59,621.29,616.94,584.85,489.82,425.91,646.04,92.552,894.81,214.95,780.25,314.13,997.82,131.41,671.01,194.71,470.63,155.28,518.77,594.53
629.98,1731.4,1269.7,1525.3,1097.6,682.5,888.9,1036.1,1166.1,760.72,1081.5,1020.5,896.39,831.41,736.33,1011.1,1108.2,187.53,1197.2,1155.6
433.54,309.97,333.93,106.66,98.886,270.52,234.3,635.9,300.93,388.96,233.56,251.88,138.45,334.9,51.527,143.39,137.42,25.945,76.037,123.61
590.53,1035,1199.5,1587,1146.4,1238.5,1081.7,742.63,1404.9,1282.8,886.62,1739.4,873.88,1775.5,1224,2209.2,1215.8,199.38,1258.9,1217.5
561.55,565.43,987.48,933.21,824.8,913.23,992.11,1007.1,830.67,397.63,782.73,1211.1,848.98,643.91,510.68,945.02,576.31,179.76,1014.9,1015.7
445.71,384.83,621.51,438.62,430.56,795.44,782.18,288.94,597.32,418.92,622.1,298.49,367.51,429.83,556.66,388.15,666.16,107.2,406.88,592.38
3016.2,1181.4,1414.4,1819.9,2303,1275.5,1693.8,955.4,1067.7,2174.6,941.62,2316.3,831.72,1519.5,1525.2,1884.9,1104.3,248.3,909.59,1295.9
490.11,455.91,501.46,548.81,433.68,624.51,537.68,304.71,446.29,432.8,731.84,795.8,384.29,1046.1,656.26,809.9,572.05,100.98,605.14,488.65
237.27,763.84,404.96,364.22,604.7,657.96,433.51,668.48,348.69,439.38,869.95,258.9,660.22,707.89,587.78,354.6,419.93,112.79,391.2,550.47
639.17,629.57,723.56,464.1,643.95,839.07,703.69,961.94,882.96,643.72,833.14,541.31,814.12,363.01,496.02,653,762.8,128.42,551.52,928.58
1008,999.41,1370.6,1102.1,784.22,367.22,1371.6,794.97,1229.1,1123.3,683.67,769.2,448.64,867.91,595.71,1375.5,1410.5,202.92,1486.3,915.34
470.79,284.98,209.03,299.37,463.78,261.3,396.72,305.98,274.31,441.01,290.93,383.76,215.29,241.17,380,238.53,315.32,71.651,419.24,269.32
376.73,436.12,713,429.49,276.09,154.38,845.08,540.04,620.03,611.19,425.4,462.93,1029.8,159.31,141.13,373.03,357.34,96.911,317.65,651.62
228.55,854.07,835.85,471.32,427.09,1230.5,585.5,697.14,934.87,826.15,657.37,517.04,887.02,874.17,527.42,547.99,663.5,121.21,526.28,941.41
10.574,6.4381,4.4318,3.1729,73.138,21.39,76.729,20.746,9.1922,4.9751,11.562,11.596,9.3034,17.381,11.569,10.48,6.0433,1.0561,6.3211,10.378
2437.4,1495.4,1209.2,1826.7,2063.5,1281.8,1427.3,1472,934.72,1796.2,1433.1,1911.9,1047.3,1155.4,1493.3,1556.4,1332.4,216.87,1477.7,1729
