0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.080792,0.13107,0.092798,0.019724,0.07162,0.084812,0.043792,0.0813,0.071436,0.088654,0.12526,0.12039,0.047095,0.15621,0.43781,0.14528,0.22169,0.21404
6.9506,6.7163,7.2667,5.0053,5.2595,7.1144,5.3245,5.8796,7.3575,6.7542,6.0314,5.9762,6.5929,5.4174,5.9504,4.8618,3.1957,4.0456
9.8374,10.593,11.153,10.338,9.0019,8.8167,10.469,6.3747,8.6306,9.0265,11.954,15.046,8.1905,9.9562,13.712,11.085,25.742,8.8119
0.71423,0.84971,0.70004,0.65096,2.3075,1.053,1.1184,1.874,0.76717,0.75238,1.8374,1.2299,1.5913,0.52447,1.358,1.2558,0.80401,1.6633
0.18396,0.23105,0.40351,0.226,0.42084,0.28905,0.50178,0.42994,0.23786,0.32819,0.47228,0.35877,0.36667,0.39635,0.37235,0.33436,0.75151,0.74764
19.005,24.16,29.707,25.053,16.657,19.434,25.398,25.624,28.352,25.71,28.01,28.917,21.017,29.004,28.375,28.17,20.37,34.129
1.9678,0.65727,0.77495,0.48445,1.3877,0.54161,0.43024,0.1775,0.29243,0.58066,0.2051,0.16897,0.57836,0.33716,0.37731,0.039649,0.11169,0.36995
35.63,21.607,44.033,34.069,31.715,34.602,31.036,52.406,47.034,37.047,42.882,27.14,37.116,35.834,38.873,46.525,30.396,32.767
0,0.026898,0,0.016191,0.019597,0.055696,0.053921,0.066736,0.058639,0.058218,0,0.028236,0.13531,0.069941,0.03783,0.039753,0.013998,0.039044
0.0066758,0.0054151,0,0,0,0,0,0,0.023611,0.0058603,0.0483,0.0056846,0,0.0046935,0,0.024009,0.050726,0.0078604
59.64,55.406,70.588,52.098,44.425,40.895,51.271,47.997,48.73,44.808,46.825,57.93,37.799,62.448,56.149,50.574,66.086,48.799
5.8792,6.3977,6.1256,6.7451,6.3035,8.0671,8.6199,7.4356,6.9122,5.852,7.4382,4.3087,10.319,7.0698,7.0188,6.586,4.6382,5.7877
26.385,27.026,26.073,21.566,32.145,29.587,30.229,28.46,28.399,35.119,32.966,49.626,32.866,31.538,32.947,27.723,44.074,30.274
