0,1,2,3,4,5,6,7,8,9,10
0.039797,0.061121,0,0,0,0,0,0,0,0,0
7.3373,8.7684,10.09,9.6138,10.355,8.9817,14.593,6.9637,8.5578,7.7464,7.3594
0,0,0.02287,0.02063,0.018058,0.057902,0,0,0,0,0.036984
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.072756,0.069839,0.075688,0.034139,0.074707,0.071861,0.09544,0.082242,0.1743,0.15683,0.153
0.011776,0,0.018376,0.022103,0.0096735,0,0,0,0,0.021757,0.029718
2.8932,1.5869,1.6321,5.731,1.3096,2.0439,5.3664,0.93058,1.7701,5.9011,3.051
1.1297,0.68488,0.74225,2.5388,0.63494,0.62641,2.6519,0.40326,1.5953,1.9041,1.5004
1.8968,0.72829,1.7266,2.4475,0.97382,2.2898,3.7323,0.50028,1.6661,6.3274,2.9916
0.48643,0.4269,1.0121,1.1086,0.45666,0.73211,0.54694,0.3142,0.26636,1.5406,0.7599
0.086955,0.10294,0.15454,0.119,0.02381,0.16223,0.18536,0.03604,0.045134,0.16065,0.030477
0,0,0,0,0,0,0,0,0,0,0
0.049114,0,0.051094,0.092183,0,0,0,0,0,0,0
0.26112,0.24411,0.60235,0.39954,0.59221,0.47097,0.66274,0.35933,0.42429,0.30065,0.47273
0.371,0.56979,0.91663,0.4352,1.2952,0.67179,0.66917,0.4613,0.48882,0.34272,0.62415
0.5607,0.79027,0.60109,1.1968,0.42689,1.0941,0.81177,0.42048,0.55695,1.3939,0.48603
0,0,0,0,0,0,0,0,0,0,0
0.0090615,0.0069585,0.018853,0.0085037,0,0,0,0.0081943,0.0086832,0,0
0,0,0.12972,0,0,0,0,0,0,0.15359,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.10362,0,0.027275,0,0,0,0,0.040896,0.05586
0,0,0,0,0,0,0,0,0,0,0
0,0,0.060649,0,0,0,0,0,0,0,0
0,0.061412,0.055463,0.10007,0.021897,0.035105,0.034968,0.096424,0.051088,0.032834,0.089694
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.060941,0.068797,0.049649,0.032595,0.052255,0.069401,0.011961,0,0.016291,0.055629
0,0,0,0,0,0,0,0,0,0,0
10.016,22.889,12.428,8.8332,18.289,9.6145,9.023,5.4562,19.947,10.85,9.5418
8.9007,247.2,295.38,225.31,213.96,158.3,168.11,247.34,296.21,223.87,195.35
256,303.37,230.96,252.74,327.17,230.67,242.87,180.65,410.37,249.53,213.61
60.49,61.818,72.241,56.891,84.673,40.481,43.69,55.594,89.943,60.156,33.996
0,0,0,0.049679,0,0,0,0,0.050727,0,0
0,0,0,0,0,0,0,0,0,0,0
0.082284,0.063188,0.12364,0.0429,0.052572,0.060201,0.11993,0.066142,0.052566,0.22522,0.092288
2.0157,2.0918,2.9282,4.7036,2.0884,4.3047,3.335,2.7588,2.732,4.1827,2.0775
0.087749,0.085117,0.15855,0.1647,0.049319,0.15813,0.096933,0.087704,0.035404,0.22185,0.050503
0,0,0,0,0,0,0,0,0,0,0
0,0.18735,0,0,0.40082,0,0.32004,0,0,0.3005,0.20522
0,0,0.051206,0,0,0,0.064569,0,0,0,0.041405
2.5693,3.4621,3.858,4.5949,1.792,3.7028,3.8156,2.718,1.7653,5.0455,2.1205
0.40277,0.28743,0.58406,0.30544,0.24396,0.26253,0.34689,0.21338,0.13645,0.54621,0.29431
0.26221,0.32217,0.10911,0.59057,0.30155,0.5525,0.61914,0.56908,0.10051,1.4857,0.26468
0,0,0,0,0,0,0,0,0,0.21431,0
0.30019,0.24826,0.69665,0.39007,0.18969,0.53218,0.33321,0.36543,0.18809,0.72528,0.29137
0.39609,0.050695,0.20603,0.30976,0.16269,0.6955,0.25979,0.059698,0.063259,0.56918,0.055531
2.9825,1.4265,2.8013,2.591,0.81198,3.2095,3.3758,1.3408,0.62059,7.0532,1.4479
