0,1,2,3,4,5
0,0,0,0,0,0
9.8507,7.6072,9.4108,8.7719,13.159,4.2876
0,0.016573,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.15323,0.20569,0.048094,0.11171,0.17041,0.13326
0.033069,0.013317,0,0.028928,0.0055165,0.032353
3.1739,2.5054,1.8586,5.7396,6.1877,5.7393
1.9757,1.2327,0.81226,2.8482,3.4537,1.9058
3.0331,1.847,0.62691,3.5917,4.8129,5.9349
0.78054,0.10478,0.48997,0.1707,0.45573,0.5091
0.084784,0.081943,0.098992,0.23586,0.09844,0.38821
0,0,0,0,0,0
0,0,0,0,0,0
0.37726,0.71468,0.37524,0.29284,0.43079,0.28072
0.60772,0.48946,0.65397,0.39872,0.56482,0.33975
0.64965,0.75005,0.81058,0.39054,0.87447,0.6669
0.016957,0,0,0,0,0
0,0,0,0,0,0.0082984
0,0.094007,0,0.30632,0.23365,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.025032,0.029264,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.06029,0.023495,0.032742,0.0999,0.24412
0,0,0,0,0,0
0,0,0,0,0,0
0.037141,0.0099713,0.023315,0.11372,0.086742,0.036338
0,0,0,0,0,0
7.3421,683.99,3.2971,8.3003,3.6744,3.5916
7.1642,220.27,156.19,139.88,152.96,81.964
149.95,176.02,120.93,156.34,20.225,121.43
52.493,7.9892,43.394,32.096,26.24,34.811
0,0,0,0,0,0
0,0,0,0,0,0
0.017116,0.062033,0.17728,0.022459,0.085657,0.083727
2.5157,0.17797,3.2811,2.9219,3.5729,1.6797
0.056198,0.076598,0.097691,0.051053,0.051923,0.088818
0,0,0,0,0,0
1.1418,0.18393,0.86011,0,0.22857,0.22342
0,0,0.086765,0.12092,0,0
3.9932,2.3025,3.3327,1.1313,2.0438,2.8191
0.59407,0.64103,0.46973,0.39477,0.083856,0.23845
0.24544,0.5535,0.50843,0.38648,0.1474,0.67236
0,0,0,0,0,0
0.38907,0.33947,0.2137,0.085089,0.12981,0.41237
0.24717,0.14931,0.058184,0.48651,0,0.42319
2.9512,2.4797,1.7124,2.9725,5.0936,3.9175
4.1255,5.0575,4.0772,2.3058,4.0528,1.3888
0,0.01717,0.020074,0.50354,0.021338,0
0.039716,0.031987,0,0.23452,0,0
0,0,0,0,0,0
0.9577,0,0,0.15709,0.11982,0
0,0,0,0,0,0
3.5848,0.59694,0.31333,0.29772,1.8924,0.88791
13.312,0.93052,1.3007,0.59323,2.8533,0.43002
0,0,0,0,0,0
45.587,23.307,21.831,27.957,24.357,24.14
9.8236,4.0426,5.904,5.75,7.1372,6.992
0.56627,0.046269,0.26274,30.853,0.12322,32.928
0.042167,0.71319,0.15882,0.91297,0.94962,0.46411
3.0417,7.5359,2.9778,2.1278,2.0968,5.1535
9.0705,10.348,8.4646,7.767,34.172,17.452
0.27285,1.5383,0.12846,0,0.13655,0
0.089213,0.75445,0.29401,0.23413,0.089295,0.043641
22.014,10.186,16.138,14.541,14.256,232.29
6.2292,11.47,11.998,7.5288,4.7979,26.894
4.3901,9.7234,9.2023,7.4066,5.2311,18.868
0.29032,0.35074,0.33715,9.8288,0.067804,9.6763
0.1774,0.061235,0.095452,0.26604,0.025367,3.7688
0,0,0,16.205,0,44.666
4.0549,3.5389,4.0336,6.4994,4.7196,4.7209
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.22839
0,0,0,0.99646,0,0.4953
0.12772,0,0.20043,6.983,0,5.0815
0.023793,0,0.028005,0.015611,0,0.069836
0.027717,0.031253,0.020879,0.065467,0.033291,0.11389
0.24537,0.74108,0.37543,1.9721,0.10745,3.3458
0.87839,0.96734,1.5191,1.8348,0.21531,0.43846
77.215,58.012,64.95,58.773,76.383,29.441
10.997,7.9487,9.5406,6.1297,3.757,2.8702
0.46643,0.76767,0.84018,0.87816,0.77133,1.8452
0.33712,0.40185,0.41901,0.31851,0.26995,0.23748
11.588,10.603,11.146,9.5699,12.317,8.5205
0.73718,1.4843,3.432,0.91359,1.1478,1.3623
3.0901,4.4269,4.8657,4.0069,5.4858,5.9699
32.713,29.053,31.934,51.548,46.218,37.023
10.515,9.2224,8.1198,10.302,8.326,12.815
34.315,40.755,39.324,22.261,58.373,18.647
13.009,22.357,18.399,7.4993,19.83,8.467
9.3212,10.533,11.23,16.19,7.7501,19.743
0.15448,0.394,0.21819,0.4561,0.14174,0.26449
34.263,25.065,22.593,30.424,37.429,30.262
45.532,102.79,170.72,49.741,117.46,20.374
39.363,21.828,26.337,31.236,28.551,27.082
0,0.18443,0.32342,0,0,0.056008
94.919,92.969,93.266,94.444,121.96,47.982
4.5021,2.8202,2.5906,2.7897,1.5021,2.6917
34.957,22.652,19.965,23.848,26.881,16.885
2.3744,2.26,3.1842,2.5492,2.7366,1.3375
1.007,1.0999,0.49359,0.90508,0.53849,0.60734
2.9798,2.2464,1.7358,5.4846,2.3701,7.129
0.30953,0.62325,0.1093,1.4724,0.426,0.75709
0.17081,0.20636,0.16083,0,0.25645,0.5849
1.975,1.6901,2.4873,0.97187,1.4579,1.2077
26.726,12.121,10.241,8.7034,12.335,16.099
2.4663,0.56127,0.65104,0.67154,1.3187,0.6019
19.673,11.439,12.756,13.311,17.048,4.6855
16.599,8.0872,9.8672,9.4771,9.8383,8.7593
5.5038,6.053,9.5756,2.1263,11.437,0.87468
27.225,23.266,25.38,30.943,23.54,26.697
6.5112,6.6504,6.3489,7.8985,5.5324,1.8875
0.082471,0.26569,0.38827,0.45993,0.12382,0.16137
0,0,0,0,0,0
0.3023,0.19478,0.66416,5.9369,0.020172,6.408
3.7112,6.5842,7.9208,4.18,4.5401,2.582
15.25,14.582,18.047,15.888,29.362,9.8788
1.0779,2.4162,3.6482,0.44035,3.0841,0.13929
16.614,16.787,16.808,13.653,20.586,8.9121
0.52524,6.134,16.963,1.5163,17.769,6.2693
6.8972,16.644,17.248,5.492,21.125,7.9175
1.0584,1.6197,2.0929,0.41666,1.2713,1.2426
0.26169,0.46669,0.6864,0.049055,0.57998,0.036575
18.455,16.665,17.88,10.174,22.104,8.8288
20.443,18.102,20.08,11.648,24.466,9.6357
4.7801,3.7885,3.0635,2.8295,2.5403,1.4655
2.4164,3.5613,3.8554,0.82574,3.2669,1.8388
20.598,20.807,19.335,12.415,21.28,11.192
97.877,103.33,92.053,68.29,77.304,49.286
0.092758,0.14942,0.37119,0.24343,0.51063,0.77138
0.22886,0.4301,0.66085,1.882,0.77885,0.62695
0.43449,0.2935,0.22435,0.95636,0.14029,1.5906
0.02569,0.0041382,0.029028,0.0067422,0,0.015081
0.010752,0,0,0.014109,0,0.021039
0.15376,0.0088454,0.082729,0.11529,0,0.34384
0,0,0.03677,0,0,0
0.68125,0.42839,1.6328,2.4285,0.14221,2.5876
0.060085,0.056458,0.1603,0.30223,0.0050116,0.31352
3.5286,4.113,3.9626,2.7505,4.5768,2.3596
6.6709,5.9417,7.9006,4.3357,7.4666,3.0808
2.6924,3.9974,3.4922,2.5398,2.4568,1.5234
0.10299,1.1613,0,0,0,0.5038
34.176,51.875,44.087,17.563,29.644,13.993
1.4829,1.9033,2.162,1.0859,3.6963,1.0483
0.34093,0.068646,0.20063,0.055921,1.0664,0.20847
0.63665,0.1465,0.2141,0,0.45517,0.088983
1.0727,0.68519,0.87071,1.1163,0.40725,0.39807
0,0.20265,0,0.6053,0.083948,0.41028
0.11295,0.13646,0,1.5934,0.16959,0.41442
0.81741,0.66923,1.2531,0.62052,1.136,1.0311
20.157,14.121,16.684,24.275,15.507,31.556
3.7474,3.8102,3.6006,5.0464,2.6136,3.6557
0.47787,0.28932,0.44375,26.752,0.21111,22.751
0,0,0,0.84827,0,1.2197
0,0,0.038487,0.48272,0,1.1997
8.1733,7.0067,7.6612,5.3314,8.6707,4.4591
0.16087,0.025913,0.030295,0.12666,0.67627,1.2119
0.92813,0.91742,2.2841,1.2179,0.59117,0.4953
2.1636,2.9641,9.087,2.2012,6.9936,1.5072
23.959,29.097,86.869,25.255,77.781,14.37
0.22678,0.039139,0.12202,0.042512,0.5999,0.031696
0.4363,1.2164,0.72683,0.2202,2.3179,0.22985
3.4471,2.8421,2.9843,2.4225,0.94842,2.5734
0.10063,0.1042,0.25041,0.12261,0.035971,0.33051
0.2253,0.18146,0.053036,0.073911,0,0
0.091612,0.40582,0.12939,0.020035,0.06113,0.037346
0,0,0,0,0,0
0,0,0,0,0,0
0.059182,0,0.027863,0,0.029618,0.028951
0.96075,2.4966,1.1948,0.33301,2.776,0.070941
0.91838,2.2026,0.66453,0.13357,1.9449,0.013278
0,0,0,0,0,0
0,0.029335,0,0.047793,0.012152,0
0.19369,0.34233,0.17224,6.6081,0.41465,11.18
0.054999,0.26578,0,0.57736,0.1101,0.32285
3.5447,7.9394,8.3394,21.205,8.7681,13.291
0,0,0,0,0,0
0.7431,0.78894,0.85872,1.241,2.6371,0.62789
33.064,36.394,33.165,31.92,38.373,24.744
12.838,8.7807,8.7592,7.0059,10.188,7.8552
0.18911,0.22846,0.21723,2.7147,0.30663,4.6549
0,0,0.026237,0,0,0
0,0,0,0,0,0.058561
10.366,10.599,10.645,4.4715,15.855,2.6827
0.027191,0.0219,0.042671,0,0.054432,0.03547
0.83686,1.5609,2.3017,0.66466,4.7392,0.36628
27.674,26.031,23.831,22.055,18.7,13.18
0.28488,0.34416,0.26824,0.093454,0.42771,0.34839
9.1793,9.2414,8.6804,7.684,5.9008,4.9162
5.4276,4.0195,3.8283,2.6582,5.2309,2.6398
4.4093,3.2649,3.2143,1.7653,2.8473,1.0553
0,0,0,0,0,0
8.7739,7.1262,6.9297,6.8517,6.1235,5.0201
0.020679,0.041637,0.053545,0.10176,0,0.065752
0,0.0094771,0.01108,0,0,0
0.17938,0.036118,0.10556,0,0.089771,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.3261,1.0094,2.4463,0.16446,0.69842,0.013256
0,0,0,0,0,0
0,0.039885,0.023315,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3.9499,2.7264,2.5127,3.5943,3.2752,1.8718
0,0,0,0,0,0
2.0691,2.7796,2.2949,2.0841,2.126,0.91403
0.19331,0.25493,0.13002,0.10593,0.70167,0.016627
129.72,139.44,112.53,99.74,215.22,64.682
0.16674,0.17906,0.31401,0.6564,0.22253,0.38065
4.564,2.7834,5.3614,6.1472,6.8961,6.1611
10.655,9.488,9.6322,7.0891,3.3296,18.964
0,0.010042,0.023481,0.049084,0,0.10979
0,0,0.028382,0.079107,0,0
6.5983,11.155,9.0625,7.6588,6.8207,3.1522
3.314,5.7024,3.1295,7.6622,4.4436,8.4893
0.075303,0.7278,0.40179,1.3504,1.0301,0.68762
0.0077713,0.0031295,0.021952,20.4,0,16.48
0.11508,0.14123,0.15479,10.369,0.38394,12.229
0,0,0,0,0,0
0,0,0,1.0211,0,1.1127
3.9572,4.282,4.807,13.675,9.0556,14.718
3.5281,6.3341,8.3157,14.657,6.9808,15.073
4.3921,4.4511,4.2516,3.5824,3.2481,1.9167
0,0,0,0,0,0
0,0.21099,0.296,0,0.052441,0
0.10171,0.13457,0.095766,0.019066,0.014543,0.02843
15.91,11.483,11.802,10.804,16.23,11.709
12.014,21.158,16.897,14.809,17.504,20.194
12.094,17.891,17.617,7.0926,17.487,15.864
7.8,7.3157,7.6603,4.1931,13.247,3.8566
8.2666,8.0018,7.8604,8.0021,6.034,5.9436
0,0,0,0,0,0
0,0,0,0,0,0
0.10125,0.12232,0.38135,0.26572,0.050672,0
3.1013,2.3966,2.7269,2.2642,3.1817,1.6984
0,0,0,0,0.073527,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.092719,0.054199,0.075531,0.057613,0
0,0,0,0,0,0
0.17459,0.18749,0.32879,0,0,0.056939
0.14649,0.11799,0.091958,0.064076,0,0.047775
0.14744,0.11875,0,0.1451,0.14757,0.14425
0.23606,0.38025,0.66682,0.20651,0.31504,0.15397
45.229,49.66,44.333,38.67,44.358,32.917
0.85535,1.2917,0.75506,0.4209,1.9263,1.9352
4.4899,6.266,10.825,2.1411,11.694,6.6673
2.2528,4.0978,6.5306,1.4283,9.3236,3.4671
0.022961,0,0,0.12052,0.13789,0
0.036794,0,0.0086613,0.024141,0.009207,0
0,0,0,0,0,0
107.84,84.502,75.118,48.381,94.209,31.498
0,0,0.19206,0,0.40833,0
17.235,45.489,35.997,127.27,69.366,40.369
0.010279,0.10762,0.087105,0.1079,0.10288,0.060338
0,0,0.074184,0.034461,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4.542,4.8956,3.6939,1.5854,5.9347,0.26998
0,0.44924,0,0,0,0
24.391,42.043,43.666,17.036,47.504,8.5119
0.53871,0.77134,0.73268,0.2749,0.95858,0.1464
0,0,0,0,0,0
0.11387,0,0,0,0.11398,0
0,0,0,0,0,0
0.059771,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0.066431,0,0
0.059517,0,0,0.2343,0,0
0,0,0,0,0,0
281.61,131.82,151.28,419.73,113.5,457.25
0.11295,0,0.079768,0.07411,0.028265,0.52493
0.092147,0.40819,0.086765,0.36275,0.046116,0
0,0,0,0,0,0
0.028277,0,0,0,0,0.027665
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.014863,0,0,0
0,0,0,0,0,0
0.054606,0.02199,0,0,0,0
0.4723,0.15619,0.43588,2.1507,0.26924,3.2101
0,0,0,0,0,0
2.3903,1.848,1.9952,7.9591,1.4499,15.527
0.191,0,0.35968,0,0,0
0.87414,0.43699,1.3907,1.503,2.6248,1.9169
0,0,0,0,0,0
27.032,28.179,16.242,11.837,17.615,6.1526
0.58768,0.11833,0.13834,0,0.14705,0
18.305,23.495,31.421,8.5793,12.983,9.308
0,0,0,0,0,0
0,0,0,0,0,0
2.0225,1.2513,1.5758,1.2304,1.0804,1.312
0.075168,0.030271,0.28311,0.19727,0.22571,0.36771
4.4516,3.0091,2.9034,1.9327,3.5987,1.7368
1.6146,2.6907,2.5959,1.1926,2.7341,1.0382
0.046099,0,0,0,0.046141,0
0,0,0,0,0,0
1.0068,0.66676,1.3905,0.88079,1.3885,0.6786
27.325,40.574,44.262,41.428,24.889,49.483
0.085405,0.068786,0,0,0,0
7.0451,8.0228,7.6988,67.45,6.4351,51.753
3.6172,4.2702,4.3391,26.984,2.9758,13.041
9.1714,7.5308,8.3141,6.2841,5.9734,6.682
0.14325,0.11537,0.2248,0.25063,0,0.046716
2.1875,1.9234,1.6349,1.7044,0.78003,2.3052
0,0.053045,0.062014,0.086423,0.19776,0.25774
0,0,0,0,0,0
2.6021,1.63,1.6334,1.2646,0.96463,2.5929
2.3913,6.3676,7.1456,10.15,10.771,9.3345
0,0,0,0,0,0
7.9929,10.824,12.799,9.2093,8.8018,11.476
0,0,0,0,0,0
0,0.074653,0.029092,0.081085,0,0.030228
0,0,0.18488,0,0.19653,0
3.2235,4.8939,4.5349,5.0691,5.2245,7.2821
0,0,0,0,0,0
0.19635,0.31629,0.18488,0.51531,0,0
4.1153,2.9656,4.9626,3.6001,8.2381,6.3572
0.28488,0,0,0.18691,0,0.13936
23.429,14.4,16.669,81.982,12.709,177.89
0,0,0.099285,0,0,0.12895
0.73047,0.22412,0.39303,0.50208,1.0097,0.37435
8.1633,6.1813,6.0823,4.463,4.8364,4.5133
4.049,3.8408,2.9229,1.9481,1.8462,2.2448
10.943,10.584,11.045,10.111,12.637,8.4591
0.075574,0,0,0.099169,0.075643,0
2.5524,2.5787,3.6284,10.686,1.2524,10.456
1.5035,1.6979,2.3495,6.7713,0.94753,6.888
0,0,0,0,0,0
0.01505,0,0.035427,0.039497,0.015064,0.029448
0,0,0,0.22323,0,0
0,0,0,0,0,0
0,0,0,0,0,0
49.547,40.714,43.177,40.548,44.901,31.753
2.1211,4.0728,2.5972,1.6721,0.99292,0.29195
11.133,18.186,16.895,13.372,11.264,3.2368
91.48,33.28,33.997,23.666,31.786,15.744
27.64,34.983,28.902,20.222,39.006,13.378
7.2225,7.1736,7.2949,6.0853,11.197,2.8357
3.0574,4.0093,4.8349,2.8803,3.8448,2.416
6.6588,7.1349,5.5973,5.5051,5.2004,4.1995
0.27535,0.13306,0.36298,0.32519,0.16536,0.29634
0,0,0,0.53532,0,0
0.19635,0.15814,0,0,0,0
0.14081,26.214,3.1733,0.14782,4.5666,0.064292
0,0.15814,0,0,0,0
0.28013,0,0,0,0,0
4.8369,4.9412,4.0328,3.2549,3.3227,1.3833
0.096154,0.038722,0.090538,0.063087,0.048121,0
0,0,0,0,0,0
0.034184,0.052311,0.067594,0,0.095803,0.046822
0,0,0,0,0,0.031992
2.1246,2.1801,2.0597,12.06,5.2927,18.461
9.3716,9.7923,10.79,14.794,22.07,9.4129
6.4964,4.3862,4.9196,5.3868,7.2494,6.0178
12.54,6.1774,7.2137,4.3476,10.401,4.0668
0.00572,0.023035,0.032315,0,0.0057253,0
11.381,8.3807,12.383,18.096,9.4643,21.349
0.0080744,0.016258,0.015206,0,0.040409,0
0,0.018117,0,0,0,0
5.0886,4.0105,4.266,1.7429,3.3814,2.2667
7.5784,10.499,11.078,5.9106,18.836,4.7759
3.7249,2.7748,4.8243,2.1831,3.743,2.0166
3.1139,0.87628,2.0312,0.71384,1.4457,0.6607
0.24219,0.048765,0,0,0,0
0.015934,0.038501,0,0,0,0
0,0,0,0,0.35048,0
0,0,0,0,0,0
19.05,18.01,19.596,14.797,14.132,12.956
52.784,29.976,39.937,18,33.606,11.733
29.176,24.625,25.519,28.511,21.667,22.56
0,0,0,0,0,0
16.951,10.125,9.7405,7.5152,14.544,4.1678
0.55778,0.29949,0.35013,0,0.37219,0
0,0,0,0,0,0
0.1911,0.2535,0.19052,0.088504,0.14627,0.054989
0,0,0,0,0,0
0,0,0,0,0,0
17.367,16.858,15.228,6.5665,12.698,2.7072
0,0,0,0,0,0
0,0.1071,0.062603,0,0.13309,0
0,0,0.31907,0,0.33918,0
5.8019,7.4465,5.1891,7.0103,6.7606,7.0896
1.1058,1.1132,0.78089,1.451,4.4271,1.2171
0.52764,0,0.090331,0,0.096022,0.18772
28.937,27.028,39.839,26.298,75.592,23.032
0.62405,0.50261,0.39173,0.54592,0,0.20352
1.5833,1.2752,1.1468,0.31964,9.3258,0.5958
0.12005,0.22562,0.01256,0.10502,1.2551,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.0045655,0,0.0097064,0.0094877
0,0,0.011076,0,0.023549,0
0.017228,0.013876,0.032444,0,0,0
0,0,0,0,0,0
0,0.027604,0,0,0,0
0.029654,0.023883,0,0,0,0
0.018962,0.07636,0,0,0,0
0.05118,0.041221,0.072287,0,0,0
0,0.0092567,0,0,0,0
0.027554,0.044384,0.025944,0,0,0
0,0.0091764,0,0,0,0
0,0,0,0,0,0
0,0.059425,0,0,0,0
0.010948,0,0.010309,0,0,0
0,0,0,0,0,0
0,0.023404,0,0,0,0
0.069453,0,0,0,0,0
0,0,0,0,0,0
0,0.0119,0.013912,0,0,0
0,0,0.027707,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.037983,0,0,0,0
0.072698,0.029276,0,0,0,0
0,0,0,0,0,0
0,0.022929,0.026806,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.009122,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.023749,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.018283,0,0,0
0,0,0,0,0,0
0,0,0.024931,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.025073,0,0,0
0,0,0,0,0,0
0.038044,0.030641,0,1.585,0,0.14888
0,0.035474,0,0.057796,0,0.043092
0,0,0.053322,0,0,0
20.84,24.978,45.574,12.568,24.018,5.7334
0,0,0,0,0,0
0,0,0,0,0,0
0.055434,0.044647,0.052196,0.072741,0.27743,0
0,0,0,0,0,0
9.6395,10.422,11.055,8.8437,9.0682,7.3419
0,0,0,0,0,0
0.44701,0.18001,0,0.097762,0.14914,0
0,0,0,0.047615,0,0
5.5824,4.5214,5.5243,9.5866,6.4735,10.57
0.12889,0,0.060682,0.084567,0,0
3.2546,2.6955,4.3464,2.3075,5.9332,3.7739
5.1774,7.6297,6.7737,14.264,6.4307,15.398
0,0,0,0.098636,0,0.11031
0,0.047666,0,0.077659,0,0.1158
0.089055,0.11954,0.13044,0.019476,0.13866,0.067766
0.28419,0.35968,0.35041,0.053273,0.4944,0.07282
0.057798,0.023276,0.027211,0.075843,0,0
0.01623,0.019608,0.053487,0,0.016245,0
24.471,24.329,30.1,18.822,26.645,32.566
0.21094,0.21358,0.22699,0.21353,0.19304,2.4647
