0,1,2,3,4
0,0,0,0,0
7.6506,9.276,15.585,9.8846,14.741
0,0,0.046964,0,0.045553
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.030922,0.28328,0.25258,0.17062,0.03769
0,0.056433,0.050315,0,0.024402
2.6959,6.3057,12.875,0.55384,5.7766
1.9205,3.7397,8.0341,0.30675,3.6037
3.6277,4.1661,12.325,0.37067,3.521
0.70882,0.33301,1.0392,0.065183,0.35998
0.043116,0.15192,0.3367,0.016993,0.086338
0,0,0,0,0
0,0,0,0,0
0.29434,0.8841,0.48508,0.48455,0.54109
0.39419,0.27779,0.39629,0.8265,0.96095
0.41268,1.1059,0.80344,0.5035,0.93161
0,0,0.038701,0,0.018769
0,0,0,0.0084998,0
0.10599,0,0,0.11697,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0.079557,0,0.06229,0
0,0,0,0,0
0,0,0,0,0.1208
0.067978,0,0.14237,0.075014,0.11047
0,0,0,0,0
0,0,0,0,0
0.022486,0.12677,0.16954,0.074439,0.10963
0,0,0,0,0
6.0007,701.46,8.1851,478.58,4.0008
7.511,197.3,191.18,106.7,188.04
130.46,289.8,228.69,852.38,23.451
40.536,15.219,44.189,15.682,28.54
0,0,0,0,0
0,0,0,0,0
0.077715,0.20811,0.19532,0.094335,0.066307
2.408,0.36985,3.6467,2.4359,3.3114
0.094217,0.082995,0.12333,0.043321,0.052635
0,0,0,0,0
0.41476,0.58457,0.2606,0.22885,0
0,0,0,0,0
2.3694,3.717,2.1231,1.7962,1.6575
0.63977,0.69699,0.57798,0.41978,0.19811
0.5795,0.62828,0.28009,0.14757,0
0,0,0,0,0
0.35332,0.44264,0.55498,0.2491,0.1914
0.056115,0.079089,0.14103,0.061923,0
3.0277,4.2673,3.6591,2.6218,6.2331
4.3552,4.0312,3.1667,3.0673,3.879
0.02904,0.068215,0.024328,0.064091,0
0,0,0.022661,0,0
0,0,0,0,0
0.21742,0.07661,0.20492,0,0.066253
0,0,0,0,0
2.3626,0.89053,1.5362,0.92462,1.0045
6.1468,2.4592,3.9983,3.2342,1.7792
0,0,0,0,0
37.692,27.013,23.826,26.156,23.004
5.9617,7.4848,11.21,5.8523,6.3847
0.30556,1.3445,3.718,0.36186,0.21801
0.1053,0.29683,0.21654,0.12677,0.07001
3.7225,4.4344,4.0687,4.4207,1.2932
12.346,7.5758,11.019,14.96,12.455
0,1.2223,0.46705,0,0
0.16203,0.51383,0.15271,0.49171,0.14812
17.791,8.7743,12.072,15.368,10.336
4.494,33.79,27.363,21.449,3.7196
3.8917,29.633,24.691,16.759,3.0659
0.36031,1.7588,1.524,0.67885,0.021423
0.069043,0.38924,0.057841,0.48254,0
0.020062,0.41,0.28992,0.011069,0.11004
3.5903,6.2323,5.6672,3.6972,4.6052
0,0.89634,0.31079,0,0
0,0.56611,0,0,0
0,0.29878,0.26639,0,0
0,0.64796,0.57772,0,0
0.34795,24.847,28.323,0,0.094245
0.021607,1.9338,0.73311,0,0.026336
0.14095,6.5842,3.0301,0.083327,0.0061359
0.2646,31.287,40.093,1.2294,0.47528
0.83023,3.2121,1.4933,1.491,0.49605
67.849,63.728,75.331,101.15,69.446
8.1904,7.8274,6.7213,9.9428,3.5303
0.42357,1.3237,0.69426,0.67064,1.1448
0.28165,0.6386,0.41549,0.18919,0.19404
12.234,12.126,11.263,10.365,10.971
1.1157,3.1451,3.8323,2.1752,2.1306
2.3179,6.761,7.3385,5.529,5.7603
23.685,24.58,31.03,43.783,39.962
8.5329,9.137,9.5623,9.8034,8.8472
28.859,44.597,37.521,29.422,51.342
11.418,21.805,16.149,11.945,18.556
9.3529,11.836,11.631,10.807,8.5614
0.26888,0.67555,0.17629,0.43862,0.028499
28.576,30.415,32.095,24.098,33.515
52.903,105.92,178.36,170.27,120.73
36.455,25.617,29.807,25.04,25.331
0.051986,0.14654,0,0,0
79.076,120,156.67,80.768,121.1
3.8612,3.3613,2.5688,1.5039,0.96896
29.106,20.602,19.494,17.63,24.093
1.6335,5.7096,3.038,2.0189,2.4688
1.1149,2.5778,2.2039,0.99533,0.8398
2.7204,7.7701,11.407,2.8109,2.1637
0.070273,1.04,1.1038,0.50405,0.29979
0.31023,0.10931,0.14619,0.042793,0
1.7711,3.1598,3.2962,1.5586,0.51921
21.686,15.072,19.914,19.462,8.1587
2.5511,1.5121,1.1494,0.72017,0.94008
14.343,16.846,15.179,10.428,17.881
13.31,10.786,9.0334,9.2061,9.3036
4.922,6.1504,5.8663,7.3073,12.926
26.53,26.456,27.129,21.977,25.019
6.9729,6.7164,7.1552,6.1093,5.5415
0,0.31667,0.18823,0.33058,0
0,0,0.098664,0,0
0.21961,1.1994,0.73593,1.03,0.066921
4.7464,8.2597,7.5996,6.4877,4.8267
12.915,19.952,20.103,20.773,25.512
0.73878,0.53364,0.97479,12.728,3.1292
14.814,14.675,15.001,13.198,20.739
0.19079,8.1343,12.108,1.2106,21.162
6.2935,22.462,20.756,11.186,25.135
1.2495,1.9643,2.476,1.0607,2.2845
0.067897,0.26316,0.2133,1.536,0.76551
16.107,17.927,21.314,9.1323,24.985
17.829,19.416,23.809,10.275,27.953
4.4535,4.8359,8.2095,2.9258,3.7597
2.7658,4.2311,5.1895,1.833,4.0678
21.157,19.225,24.116,17.204,22.431
98.001,90.359,75.578,88.48,78.308
0.2527,0.35616,0.37048,0.20915,0.74436
0.19398,0.6249,0.9228,0.68804,0.77685
0.28001,1.184,0.62377,0.23877,0.31027
0.037328,4.6034,1.7942,0.020596,0.011374
0.039056,0.027523,0,0,0
0.12965,0.04217,0.17546,0.49526,0.024313
0,0,0,0,0
0.57565,1.9724,1.4176,0.79587,0.4476
0.05911,0.28838,0.19998,0.090317,0.027711
2.4547,5.4278,3.3894,2.0438,5.1956
5.8511,6.6581,7.4355,8.3124,7.0623
1.9344,5.3006,4.5162,3.565,2.2501
0.18705,0.79089,0.35258,0,0
38.638,37.143,36.782,38.083,29.674
1.086,5.945,3.9904,1.7976,4.0558
0.3096,1.1454,0.58358,0.34165,0.33019
0.20648,1.8625,0.51895,0.319,0.75503
0.9741,1.7517,1.6462,0.37067,0.45036
0.15233,0.32204,0.33498,0.1681,0.18567
0.20515,1.5903,0.54782,0.39618,0.062513
0.73617,2.153,1.8656,0.75144,1.2712
18.828,21.348,22.464,16.698,15.692
3.532,5.3277,4.3138,4.1495,2.6726
0.28731,9.4443,7.2471,0.24769,0.18239
0,1.0638,0.15808,0,0
0,1.0986,0.37316,0,0.045243
8.7796,7.1671,7.6274,6.8193,7.6487
0.11687,0.12354,0.036716,0.096726,0.5698
0.55551,3.5638,2.6719,0.86668,0.37357
2.0487,14.14,23.6,2.35,6.6805
21.222,84.403,109.14,28.101,73.022
0.42659,0.37319,0.61001,0.032466,0.26895
0.67051,2.7921,1.8384,0.97534,1.7088
3.7535,5.7503,3.8405,3.3234,1.0307
0.10444,0.86476,1.2057,0.086434,0.031823
0.05115,1.0814,0.25711,0.056445,0.24938
0.041597,0.84032,0.27878,0.084155,0.1183
0,0,0,0,0
0,0,0,0,0
0.026872,0.037874,0.067536,0,0.032753
