0,1,2,3,4,5
0,0.047186,0,0,0,0
6.5507,13.655,8.0597,8.6602,8.5747,18.605
0.026455,0.052132,0.019504,0.024369,0,0.022254
0,0,0,0,0,0.01864
0,0,0,0,0,0
0,0,0,0.052938,0,0
0,0,0,0,0,0
0.065665,0.1294,0.3873,0.14114,0.068046,0.16572
0.014171,0,0.078359,0.052215,0.011014,0.023842
3.7506,8.661,10.784,7.7232,3.6368,5.1233
1.5383,4.7586,7.1742,4.4818,1.9463,3.1901
3.1385,7.0281,9.6063,8.1475,2.2914,5.6004
1.1289,2.2246,1.233,0.7703,0.51993,0.70346
0.05232,0.19761,0.39217,0.25704,0.064383,0.12837
0,0,0,0,0,0
0,0,0,0,0,0
0.38254,0.47115,0.62451,0.45306,0.53622,0.43673
0.41855,0.21994,0.24686,0.77109,1.1277,0.79808
0.24891,1.3256,0.87663,0.60259,0.32616,0.88256
0,0,0.016072,0,0,0
0.0054522,0.010744,0.0080394,0,0.0084749,0.018346
0.15006,0.14785,0.11063,0,0.11662,0.25246
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.059934,0,0,0,0.031054,0.20167
0,0,0,0,0,0
0,0,0,0,0,0
0.32079,0.063214,0,0.14775,0.12466,0.13493
0,0,0,0,0,0
0.040314,0,0,0,0,0
0.079582,0.17251,0.023469,0.073308,0.18555,0.13389
0,0,0,0,0,0
913.56,8.0841,883.8,22.74,12.245,12.094
207.43,10.452,230.08,165.97,241.61,232.03
1523,239.48,288.95,231.02,131.37,140.69
41.03,56.855,14.074,59.575,26.071,27.486
0,0,0,0,0,0
0,0,0,0,0,0
0.060512,0.20597,0.097338,0.081077,0.094059,0.046276
1.333,4.6508,0.32223,2.0935,2.14,3.2906
0.10004,0.13142,0.094242,0.17918,0.051833,0.060778
0,0,0,0,0,0
0.29359,0.28927,0.21645,0.27044,0,0
0,0,0.04367,0,0.046036,0
2.3189,5.3456,1.9785,1.9883,1.8136,2.1348
0.37208,1.3893,0.38622,0.23902,0.3805,0.34183
0.44176,0.74616,0.27916,0.34879,0.58857,0.4247
0.10469,0.2063,0,0,0,0
0.28483,0.62974,0.27658,0.31997,0.15118,0.15195
0.1986,0.3131,0.05857,0,0.061742,0.13366
0.98443,6.5674,1.2399,0.699,1.1158,1.6563
4.0793,2.5099,4.6275,3.8525,3.4597,4.3844
0.013704,0,0.040413,0.025247,0.021301,0.069168
0,0.050308,0,0,0,0.021476
0,0,0,0,0,0
0.53867,0.98567,0.39714,0,0.059807,0.32367
0,0,0,0,0,0
5.3476,5.3073,4.4157,3.1526,3.4156,5.8236
3.794,8.5741,13.427,4.7887,9.0971,20.481
0,0,0,0,0,0
21.226,38.663,23.37,28.57,29.654,26.788
1.8386,8.5986,4.2742,4.9346,4.9038,8.5906
0.21102,2.7341,0.17113,0.94274,1.0004,1.0562
0.20329,0.10683,0.26978,0.049936,0.53718,0.27362
0.88049,3.266,3.4176,5.3793,1.8215,4.3352
5.1294,12.641,7.5059,10.144,20.589,20.712
